date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEND
",TRUE,FALSE,TRUE,643 824,https://www.immotop.lu/properties/new/apartment/2491753,291,,1,-1,0,45.88.,0,0,0,0,1,0,0.4000000000000001,1
Fri May 07 23:41:09 2021,"
Maison à vendre à LUXEMBOURG-ROLLINGERGRUND
1HEHP
",TRUE,FALSE,TRUE,750 000,https://www.immotop.lu/properties/used/house/2491549,360,,NA,-1,0,95.5. ,0,0,0,0,-1,0,0.4000000000000001,-1
Fri May 07 23:41:09 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HEFP
",TRUE,FALSE,TRUE,599 000,https://www.immotop.lu/properties/used/apartment/2491477,360,,1,-1,0,58. Ch,0,0,0,0,-1,0,0.4000000000000001,1
Fri May 07 23:39:24 2021,"
Appartement à vendre à LUXEMBOURG-CESSANGE
1HG41
",TRUE,FALSE,TRUE,2 130 982,https://www.immotop.lu/properties/new/apartment/2493649,228,,3,-1,0,157.67,0,0,0,0,3,0,0.39999999999999997,3
Fri May 07 23:39:24 2021,"
Penthouse à vendre à LUXEMBOURG-CESSANGE
1HG3Y
",TRUE,FALSE,TRUE,2 130 982,https://www.immotop.lu/properties/new/apartment/penthouse/2493646,228,,3,-1,0,157.67,0,0,0,0,3,0,0.39999999999999997,3
Fri May 07 23:39:33 2021,"
Appartement à vendre à LUXEMBOURG-CESSANGE
1HFSD
",TRUE,FALSE,TRUE,2 130 982,https://www.immotop.lu/properties/new/apartment/2493229,240,,3,-1,0,157.67,0,0,0,0,3,0,0.39999999999999997,3
Fri May 07 23:40:17 2021,"
Penthouse à vendre à LUXEMBOURG-GASPERICH
1HEP1
",TRUE,FALSE,TRUE,1 641 127,https://www.immotop.lu/properties/new/apartment/penthouse/2491813,290,,3,-1,0,112.46,0,0,0,0,6,0,0.39999999999999997,3
Fri May 07 23:40:17 2021,"
Penthouse à vendre à LUXEMBOURG-GASPERICH
1HEOY
",TRUE,FALSE,TRUE,1 798 893,https://www.immotop.lu/properties/new/apartment/penthouse/2491810,290,,3,-1,0,104.14,0,0,0,0,6,0,0.39999999999999997,3
Fri May 07 23:40:17 2021,"
Penthouse à vendre à LUXEMBOURG-GASPERICH
1HEOJ
",TRUE,FALSE,TRUE,1 768 701,https://www.immotop.lu/properties/new/apartment/penthouse/2491795,290,,3,-1,0,112.67,0,0,0,0,6,0,0.39999999999999997,3
Fri May 07 23:40:18 2021,"
Penthouse à vendre à LUXEMBOURG-GASPERICH
1HEOG
",TRUE,FALSE,TRUE,1 663 007,https://www.immotop.lu/properties/new/apartment/penthouse/2491792,291,,3,-1,0,104.22,0,0,0,0,6,0,0.39999999999999997,3
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEOD
",TRUE,FALSE,TRUE,1 302 107,https://www.immotop.lu/properties/new/apartment/2491789,291,,3,-1,0,94.56.,0,0,0,0,5,0,0.39999999999999997,3
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEOA
",TRUE,FALSE,TRUE,1 313 150,https://www.immotop.lu/properties/new/apartment/2491786,291,,3,-1,0,96.55.,0,0,0,0,5,0,0.39999999999999997,3
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEO7
",TRUE,FALSE,TRUE,1 300 955,https://www.immotop.lu/properties/new/apartment/2491783,291,,3,-1,0,96.55.,0,0,0,0,4,0,0.39999999999999997,3
Fri May 07 23:40:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HEO4
",TRUE,FALSE,TRUE,1 288 994,https://www.immotop.lu/properties/new/apartment/2491780,291,,3,-1,0,96.55.,0,0,0,0,3,0,0.39999999999999997,3
Fri May 07 23:39:27 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HG0P
",TRUE,FALSE,TRUE,716 000,https://www.immotop.lu/properties/used/apartment/2493529,232,,1,2018,0,55.95.,0,1,0,0,2,0,0.3500000000000001,1
Fri May 07 23:57:54 2021,"
Appartement à vendre à LUXEMBOURG-NEUDORF
1A3PJ
",TRUE,FALSE,TRUE,785 000,https://www.immotop.lu/properties/used/apartment/2150983,1556,,1,2017,0,61. Ch,0,1,0,0,1,0,0.3500000000000001,1
